iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,70.0,70.0,930.9361534555288,127.18638155767123,-70.0,70.0
1,-70.0,70.0,291.33793085175336,134.73856882843893,0.0,0.0
2,70.0,70.0,930.9564149749491,127.1782585441692,70.0,-70.0
3,70.0,-70.0,926.0354753182942,593.4334419211326,70.0,70.0
4,-70.0,-70.0,287.3639447714287,574.9864533814883,0.0,0.0
5,70.0,70.0,930.905325522615,127.21294881152505,-70.0,70.0
6,-70.0,70.0,291.30187493046935,134.78247550720158,70.0,70.0
7,70.0,70.0,930.9351767587832,127.2593272349438,70.0,-70.0
8,-70.0,70.0,291.3331035057318,134.82505522736432,70.0,-70.0
9,-70.0,-70.0,287.363223992569,574.9666794234181,70.0,-70.0
10,70.0,-70.0,925.9694957674742,593.4108693089969,-70.0,-70.0
11,0.0,0.0,616.3340991744395,357.21349304588216,-70.0,70.0
12,-70.0,-70.0,287.32387536598384,574.9851780138647,0.0,0.0
13,70.0,70.0,930.8888843572346,127.18396257072875,0.0,0.0
14,-70.0,-70.0,287.3890436600147,574.9976227821043,70.0,70.0
15,-70.0,70.0,291.37167971088473,134.87829851132702,0.0,0.0
16,-70.0,-70.0,287.4432962166882,575.0016215408585,-70.0,70.0
17,70.0,-70.0,925.9220805967625,593.4437951756985,0.0,0.0
18,0.0,0.0,616.4098693081313,357.4127144612159,70.0,-70.0
19,-70.0,-70.0,287.4210102761697,575.0359163390095,70.0,-70.0
20,0.0,0.0,616.4052993843603,357.4072446331145,70.0,-70.0
21,-70.0,-70.0,287.45296889223636,575.00927740867,70.0,-70.0
22,70.0,70.0,930.8608747674238,127.2953539794489,-70.0,70.0
23,70.0,-70.0,925.8767688707458,593.4356878188919,-70.0,70.0
24,-70.0,70.0,291.4240649594469,134.8554437481804,0.0,0.0
25,70.0,70.0,930.8862151575166,127.35282592253441,-70.0,70.0
26,-70.0,70.0,291.3944897653978,134.8620940185416,70.0,70.0
27,70.0,-70.0,925.8575023112876,593.4486337845211,-70.0,-70.0
28,70.0,70.0,930.9242230278677,127.32278301592318,0.0,0.0
29,0.0,0.0,616.3703189154936,357.443061505865,-70.0,70.0
30,70.0,70.0,930.8666056667948,127.40682478478463,-70.0,70.0
31,0.0,0.0,616.4136265403432,357.4184159182101,70.0,70.0
32,-70.0,-70.0,287.456961781492,574.974478738052,-70.0,70.0
33,70.0,-70.0,925.8567577181635,593.4252227576773,-70.0,-70.0
34,-70.0,70.0,291.34514759335667,134.87749544398486,0.0,0.0
35,70.0,70.0,930.9652131383901,127.38766396844356,70.0,-70.0
36,-70.0,70.0,291.42782914965017,134.98188895053332,-70.0,-70.0
37,-70.0,-70.0,287.417340940413,574.9794860287252,70.0,-70.0
38,70.0,70.0,930.9755657472078,127.36622603695537,-70.0,70.0
39,0.0,0.0,616.4382923494865,357.37623979899587,70.0,-70.0
40,70.0,70.0,930.8312295557247,127.40492061608813,-70.0,70.0
41,-70.0,-70.0,287.4211180174614,575.0310293041777,0.0,0.0
42,70.0,-70.0,925.9004911659728,593.4396607101869,-70.0,-70.0
43,0.0,0.0,616.3607965443604,357.5058914796443,70.0,70.0
44,-70.0,-70.0,287.4591067875123,574.9809264003994,-70.0,70.0
45,0.0,0.0,616.366165822972,357.411179067695,-70.0,70.0
46,-70.0,70.0,291.41808747797296,134.93130542936754,0.0,0.0
47,-70.0,-70.0,287.4986610013163,575.0045073775842,70.0,70.0
48,70.0,70.0,930.8765692289843,127.38079681437517,-70.0,-70.0
49,-70.0,-70.0,287.45356683414235,574.9951305850814,70.0,70.0
50,0.0,0.0,616.3989454323721,357.4451373715245,70.0,-70.0
