iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,50.0,-50.0,836.7980726956886,526.6951569931924,0.0,0.0
1,50.0,50.0,862.4840941485853,206.00594570334147,50.0,-50.0
2,-50.0,-50.0,435.68937829408424,504.9394179416536,50.0,50.0
3,50.0,50.0,862.3731485029701,205.97495316799655,50.0,-50.0
4,-50.0,50.0,460.80055015230255,205.45575776125872,-50.0,-50.0
5,-50.0,-50.0,435.76954497664593,504.9510894851065,50.0,50.0
6,-50.0,50.0,460.8099179774678,205.4673396191874,50.0,50.0
7,-50.0,-50.0,435.7578954313446,505.0557267763849,50.0,-50.0
8,0.0,0.0,648.4139936767737,360.5100789181268,50.0,50.0
9,50.0,-50.0,836.702478169821,526.5939171711195,-50.0,-50.0
10,50.0,50.0,862.5123114156053,205.81898337384925,0.0,0.0
11,0.0,0.0,648.4389732147233,360.6091428999446,50.0,-50.0
12,-50.0,50.0,460.8833045609924,205.4661126070498,50.0,50.0
13,50.0,-50.0,836.6735085523978,526.6170161029523,0.0,0.0
14,50.0,50.0,862.5123479947209,205.88152423200708,-50.0,-50.0
15,50.0,-50.0,836.7713985112059,526.7890940558794,50.0,50.0
16,50.0,50.0,862.6172175048292,205.9457924609159,-50.0,-50.0
17,0.0,0.0,648.2458468920838,360.56835098947437,-50.0,50.0
18,-50.0,50.0,460.76285310166304,205.33043315813654,-50.0,-50.0
19,0.0,0.0,648.5190541538036,360.5370372822851,-50.0,50.0
20,-50.0,50.0,460.8366116603813,205.38143913654844,50.0,50.0
21,50.0,-50.0,836.8746531394498,526.6492817171319,50.0,50.0
22,0.0,0.0,648.5022953168437,360.7432897576216,50.0,-50.0
23,50.0,-50.0,836.7063616010109,526.7265242129288,50.0,50.0
24,50.0,50.0,862.5123169203274,205.97299677029477,-50.0,50.0
25,50.0,-50.0,836.7178485081195,526.5404059772159,50.0,50.0
26,0.0,0.0,648.4545562062182,360.6774149809351,-50.0,50.0
27,50.0,-50.0,836.7243211275845,526.6016401248547,-50.0,50.0
28,-50.0,-50.0,435.6307353012615,505.0015773735368,50.0,-50.0
29,50.0,50.0,862.5164610358794,205.9217368508515,50.0,-50.0
