iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,10.0,-10.0,672.4045732315611,380.0375762904749,-10.0,10.0
1,10.0,10.0,689.8123329443891,331.0509534230196,0.0,0.0
2,10.0,-10.0,684.827563507629,391.5229526651768,0.0,0.0
3,0.0,0.0,648.4496053647481,360.21911206693136,-10.0,10.0
4,10.0,-10.0,684.8447133445115,391.4743324955575,-10.0,-10.0
5,-10.0,-10.0,606.909609933257,388.9042533079203,10.0,-10.0
6,10.0,10.0,689.8314137973226,331.1006250170583,0.0,0.0
7,-10.0,10.0,611.9555642831356,329.35695153001865,-10.0,-10.0
8,0.0,0.0,648.4135738844881,360.25987648348763,-10.0,10.0
9,10.0,-10.0,684.7787143735662,391.4840016413464,-10.0,-10.0
10,10.0,10.0,689.7144943757962,332.76661340445725,10.0,-10.0
11,-10.0,-10.0,606.9164368636724,388.9544735329723,10.0,-10.0
12,10.0,-10.0,684.8536176735955,391.4990505444252,-10.0,-10.0
13,0.0,0.0,648.3972986964142,360.21040816802434,10.0,10.0
14,10.0,10.0,689.8263888019698,331.1626954092318,-10.0,-10.0
15,-10.0,10.0,611.9908140043244,329.3986210061976,10.0,-10.0
16,-10.0,-10.0,606.9431217429852,389.0224497789887,-10.0,10.0
17,10.0,10.0,689.862144654105,331.1567522051243,0.0,0.0
18,-10.0,-10.0,606.9310524382371,388.9211718213103,10.0,-10.0
19,-10.0,10.0,611.952218616756,329.3624719051988,10.0,-10.0
20,-10.0,-10.0,606.95701785839,388.92045077590154,10.0,-10.0
21,-10.0,10.0,612.0272322923342,329.37735092602696,10.0,-10.0
22,-10.0,-10.0,606.8899518630257,388.90547536938857,10.0,-10.0
23,0.0,0.0,648.4514435114363,360.23567470646464,-10.0,10.0
24,10.0,10.0,689.797519068679,331.10658254059194,-10.0,-10.0
25,10.0,-10.0,684.8299206511815,391.51557366299033,0.0,0.0
26,-10.0,10.0,612.0706304520168,329.41068777784966,10.0,10.0
27,0.0,0.0,648.5192192343201,360.2604624224097,10.0,10.0
28,-10.0,10.0,612.0039968557611,329.4213578975693,10.0,10.0
29,0.0,0.0,648.528831397078,360.2714599804828,10.0,10.0
30,10.0,10.0,689.8637457028676,331.1128244379076,-10.0,-10.0
31,-10.0,-10.0,606.9883098108644,388.95013260680406,-10.0,10.0
32,10.0,10.0,689.8737306272442,331.0617028892661,10.0,-10.0
33,-10.0,10.0,611.970543685205,329.3463980577682,0.0,0.0
34,10.0,-10.0,684.8291205316117,391.4625362929001,10.0,10.0
35,-10.0,10.0,611.8751462484346,329.4787028621012,-10.0,-10.0
36,0.0,0.0,648.4946876544742,360.221659679256,10.0,10.0
37,-10.0,-10.0,606.9851146253095,388.88996565470217,0.0,0.0
38,10.0,-10.0,684.412973801182,391.4385254138376,10.0,10.0
