iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,20.0,-20.0,710.9451320171353,428.9426702793621,0.0,0.0
1,0.0,0.0,635.3169937554813,363.4370783872668,20.0,20.0
2,20.0,20.0,721.183261857779,302.2730712429206,-20.0,-20.0
3,0.0,0.0,635.3360504925699,363.50049089134217,-20.0,-20.0
4,20.0,20.0,721.1455354977134,302.18880737576,20.0,-20.0
5,20.0,-20.0,710.8809626693632,428.9337427641338,-20.0,-20.0
6,0.0,0.0,635.2260531655943,363.3456735378556,20.0,-20.0
7,20.0,20.0,721.086418819921,302.24936394982376,-20.0,20.0
8,0.0,0.0,635.2642752790688,363.43412302149045,20.0,-20.0
9,20.0,-20.0,710.8223808008315,428.9778876695477,-20.0,-20.0
10,-20.0,-20.0,549.238866956214,423.03689553872096,20.0,-20.0
11,-20.0,20.0,559.5923700962015,299.51095053539194,0.0,0.0
12,20.0,-20.0,710.8251491688046,429.0520075895315,20.0,20.0
13,0.0,0.0,635.0739455913836,363.5299389297961,20.0,-20.0
14,20.0,-20.0,710.8426021097536,428.94117299142476,-20.0,20.0
15,-20.0,20.0,559.6227236847344,299.47043407777073,0.0,0.0
16,20.0,20.0,721.1066920279172,302.23334962491043,-20.0,20.0
17,20.0,-20.0,710.9097366302273,429.04810578527923,-20.0,20.0
18,-20.0,20.0,559.6354580259226,299.5158708615972,0.0,0.0
19,20.0,-20.0,710.8763363012955,429.05292569996635,-20.0,20.0
